Date,Open,High,Low,Close,Volume
29-Dec-17,19.8,19.83,19.6,19.61,922319
28-Dec-17,19.67,19.8,19.63,19.8,1108670
27-Dec-17,19.65,19.72,19.61,19.7,688741
26-Dec-17,19.6,19.74,19.6,19.65,673807
22-Dec-17,19.59,19.72,19.51,19.65,793046
21-Dec-17,19.59,19.6,19.48,19.55,951059
20-Dec-17,19.69,19.74,19.54,19.54,1092313
19-Dec-17,20.04,20.04,19.54,19.61,1328221
18-Dec-17,19.9,20.15,19.88,20.03,2020423
15-Dec-17,19.76,19.91,19.75,19.85,2144843
14-Dec-17,19.62,19.76,19.51,19.73,1486168
13-Dec-17,19.65,19.7,19.59,19.61,1187358
12-Dec-17,19.6,19.73,19.55,19.65,992738
11-Dec-17,19.69,19.8,19.52,19.56,2050145
08-Dec-17,19.66,19.78,19.62,19.74,3112632
07-Dec-17,19.45,19.72,19.42,19.68,2131941
06-Dec-17,19.39,19.53,19.31,19.46,1413968
05-Dec-17,19.49,19.49,19.35,19.39,931323
04-Dec-17,19.41,19.59,19.36,19.48,1420543
01-Dec-17,19.44,19.45,19.11,19.36,1051602
30-Nov-17,19.46,19.48,19.31,19.48,1610017
29-Nov-17,19.36,19.47,19.32,19.39,861052
28-Nov-17,19.48,19.48,19.23,19.36,835546
27-Nov-17,19.47,19.47,19.38,19.43,805335
24-Nov-17,19.45,19.49,19.37,19.47,384852
22-Nov-17,19.5,19.5,19.35,19.42,740621
21-Nov-17,19.36,19.5,19.25,19.5,1221813
20-Nov-17,19.36,19.45,19.27,19.36,1360897
17-Nov-17,19.21,19.32,19.2,19.32,862235
16-Nov-17,19.16,19.28,19.14,19.26,1155725
15-Nov-17,19.21,19.26,19.09,19.17,834728
14-Nov-17,19.14,19.26,19.11,19.22,728137
13-Nov-17,19.17,19.3,19.17,19.24,1041668
10-Nov-17,19.06,19.21,19.06,19.13,665884
09-Nov-17,19.24,19.3,19.18,19.23,1246868
08-Nov-17,19.1,19.33,19.08,19.27,1552285
07-Nov-17,18.87,19.4,18.85,19.06,1714156
06-Nov-17,18.92,18.98,18.82,18.91,805036
03-Nov-17,18.84,18.97,18.82,18.87,544382
02-Nov-17,19,19.01,18.78,18.92,798710
01-Nov-17,18.98,19.03,18.86,19.03,1091638
31-Oct-17,18.79,18.96,18.67,18.94,1047474
30-Oct-17,18.92,18.92,18.69,18.77,872803
27-Oct-17,18.86,18.93,18.76,18.9,574704
26-Oct-17,18.91,18.93,18.77,18.89,705033
25-Oct-17,19.03,19.06,18.78,18.91,891601
24-Oct-17,18.92,19.08,18.89,19.04,756177
23-Oct-17,19.11,19.15,18.86,18.89,845174
20-Oct-17,19.24,19.24,18.93,19.05,771027
19-Oct-17,19.08,19.22,19.04,19.21,596551
18-Oct-17,19.08,19.24,19.06,19.19,541413
17-Oct-17,19.11,19.16,19,19.05,747711
